"StudentID","Dropout","cohort","cohort term","Marital Status","Adjusted Gross Income","Parent Adjusted Gross Income","Father's Highest Grade Level","Mother's Highest Grade Level","Housing","2012 Loan","2012 Scholarship","2012 Work/Study","2012 Grant","2013 Loan","2013 Scholarship","2013 Work/Study","2013 Grant","2014 Loan","2014 Scholarship","2014 Work/Study","2014 Grant","2015 Loan","2015 Scholarship","2015 Work/Study","2015 Grant","2016 Loan","2016 Scholarship","2016 Work/Study","2016 Grant","2017 Loan","2017 Scholarship","2017 Work/Study","2017 Grant"
297566,0,"2011-12","1","Single",0,118502,"Middle School","High School","Off Campus",NA,6000,NA,NA,NA,3000,NA,NA,NA,6000,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297567,1,"2015-16","1","Single",10290,0,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,5653,NA,NA,NA,NA
297570,0,"2011-12","1","Single",1241,73853,"High School","High School","With Parent",5500,NA,NA,3912,3500,NA,NA,NA,6500,NA,NA,NA,NA,NA,NA,11294,5500,NA,NA,8293,NA,NA,NA,NA
297572,1,"2011-12","1","Single",0,52140,"High School","High School","On Campus Housing",12000,NA,NA,6418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297578,1,"2013-14","3","Single",7670,0,"High School","Middle School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,2215,1000,NA,2823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297594,1,"2015-16","1","Single",14476,11034,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4869,NA,NA,NA,NA
297600,0,"2014-15","1","Single",1476,65085,"Unknown","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,7500,NA,NA,3291,NA,NA,NA,NA
297609,0,"2016-17","1","Single",8631,48889,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29780,NA,NA,NA
297610,1,"2011-12","1","Single",0,98987,"High School","High School","On Campus Housing",9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297616,0,"2011-12","1","Single",0,93766,"College","College","With Parent",NA,10021,NA,NA,NA,10421.8,NA,NA,NA,10653.3,NA,NA,NA,10853,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA
297626,1,"2014-15","3","Married",16920,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,4817,NA,NA,NA,NA,NA,NA,NA,NA
297627,0,"2011-12","1","Single",18687,0,"Middle School","Middle School","Off Campus",9500,NA,NA,1385,12500,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297631,0,"2014-15","1","Single",435,27248,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12116,NA,NA,NA,6128,NA,NA,NA,NA
297632,1,"2011-12","1","Single",19797,120552,"High School","High School","Off Campus",5500,NA,NA,NA,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297633,0,"2011-12","1","Single",15916,0,"College","High School","With Parent",7500,NA,NA,4812,5500,NA,NA,6502,5250,NA,NA,462.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297637,1,"2011-12","3","Single",9186,77392,"High School","High School","Off Campus",4250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,NA,NA,NA,10500,NA,NA,NA,12500,NA,NA,NA
297640,0,"2011-12","1","Single",0,13206,"College","College","With Parent",NA,NA,NA,12738,3500,NA,NA,6700,NA,NA,2000,13751,NA,NA,NA,13266,4628,NA,NA,13405,NA,NA,NA,9694
297648,0,"2011-12","1","Single",11307,0,"High School","High School","Off Campus",3816,NA,NA,8218,10500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297651,1,"2012-13","3","Single",0,0,"High School","High School","With Parent",NA,NA,NA,NA,6500,NA,NA,5895,3500,NA,NA,12001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297663,1,"2015-16","1","Single",11335,120477,"College","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14500,NA,NA,NA,NA,NA,NA,NA
297666,0,"2012-13","1","Single",3600,0,"College","Unknown","Off Campus",NA,NA,NA,NA,NA,2560.8,NA,5550,NA,NA,NA,11183,NA,NA,NA,10442,NA,NA,NA,5775,NA,NA,NA,2908
297668,1,"2015-16","1","Single",2478,15518,"Middle School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1744,NA,NA,NA,NA
297674,0,"2011-12","1","Single",0,20706,"High School","High School","With Parent",NA,NA,2244,11588,NA,NA,3000,12390,NA,NA,3000,12001,NA,NA,3000,12116,2750,NA,NA,9015,NA,NA,NA,NA
297677,0,"2011-12","1","Single",42342,0,"High School","High School","Off Campus",9500,NA,2279,NA,10500,2650,2000,NA,12500,2500,NA,NA,NA,4000,NA,12116,3250,NA,NA,2888,NA,NA,NA,NA
297686,0,"2011-12","1","Single",0,91527,"High School","College","With Parent",5500,NA,NA,NA,5500,NA,NA,NA,4500,NA,NA,NA,7500,NA,NA,NA,7500,5000,NA,NA,500,5000,NA,NA
297688,1,"2011-12","1","Single",0,21809,"Middle School","Middle School","On Campus Housing",9000,NA,NA,11588,16172,NA,NA,11790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297689,0,"2011-12","1","Single",0,113874,"College","College","Off Campus",3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297690,0,"2011-12","1","Single",0,83467,"High School","High School","With Parent",NA,6000,NA,NA,NA,6000,NA,NA,NA,6000,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297711,1,"2011-12","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297722,0,"2011-12","1","Single",9962,0,"College","College","Off Campus",NA,2000,NA,9674,5500,1000,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297736,0,"2011-12","1","Single",13289,0,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297737,1,"2011-12","1","Single",13338,213764,"Unknown","Unknown","With Parent",NA,10021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297738,0,"2011-12","1","Single",9684,75772,"College","College","On Campus Housing",NA,12759.7,NA,7000,NA,13550,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297739,1,"2011-12","1","Single",0,118285,"High School","College","With Parent",NA,NA,NA,11114,NA,NA,NA,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297754,1,"2011-12","1","Single",0,15706,"College","College","With Parent",2250,NA,NA,3350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297755,0,"2011-12","1","Single",0,23990,"High School","High School","On Campus Housing",9500,NA,2000,11588,9500,NA,3000,11740,6500,NA,NA,12601,4852,NA,NA,5680,7500,NA,NA,10107,5148,NA,NA,4639
297766,0,"2011-12","1","Single",13462,142635,"College","High School","With Parent",11500,NA,NA,NA,18000,NA,NA,NA,8338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297780,1,"2011-12","1","Single",0,10175,"High School","High School","With Parent",3500,NA,NA,4163,3500,NA,NA,4125,NA,NA,NA,NA,NA,NA,NA,2009.25,NA,NA,NA,NA,5500,NA,NA,NA
297794,0,"2011-12","1","Single",5074,12602,"High School","Middle School","With Parent",NA,NA,NA,11588,NA,NA,NA,11640,2000,NA,3300,8761,NA,NA,2400,12716,NA,NA,NA,NA,NA,NA,NA,NA
297816,0,"2011-12","1","Single",8982,101080,"High School","College","With Parent",5500,2500,NA,NA,3500,NA,NA,NA,4500,450,NA,NA,5500,5000,NA,NA,6473,5000,NA,NA,7164,5000,NA,2765
297838,0,"2013-14","3","Single",5085,31381,"Unknown","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6041,NA,NA,NA,12394,2300,NA,NA,9437,2400,NA,NA,2163
297844,1,"2011-12","1","Single",0,0,"High School","High School","With Parent",NA,NA,2300,10714,1000,NA,2000,6150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297853,0,"2011-12","1","Single",0,36186,"High School","High School","With Parent",5500,NA,NA,3200,5500,NA,NA,3600,6500,NA,NA,2495,7500,NA,NA,3080,11490,NA,NA,NA,NA,NA,NA,NA
297860,0,"2011-12","1","Single",0,298966,"High School","College","On Campus Housing",3500,1400,NA,NA,3500,NA,NA,NA,4500,NA,NA,NA,5500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297865,1,"2013-14","3","Single",0,20600,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5167,NA,NA,NA,9484,NA,NA,NA,4170,NA,NA,NA,NA
297867,0,"2014-15","3","Single",11245,38296,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5221,4500,NA,NA,10557,3000,NA,NA,9855
297870,0,"2012-13","1","Married",105838,0,"High School","High School","Off Campus",NA,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297872,1,"2011-12","1","Single",0,0,"High School","College","With Parent",5500,NA,NA,6966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297873,0,"2011-12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297875,1,"2012-13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297882,1,"2011-12","1","Single",6177,9204,"Unknown","High School","With Parent",NA,NA,NA,11538,3500,NA,2000,11790,NA,NA,NA,8886.5,NA,NA,NA,NA,750,NA,NA,2863,NA,NA,NA,NA
297892,1,"2011-12","1","Single",0,0,"Middle School","High School","With Parent",1750,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297894,0,"2011-12","1","Single",0,0,"High School","College","Off Campus",NA,NA,NA,11114,NA,NA,NA,8202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297899,1,"2011-12","1","Single",0,0,"Unknown","Unknown","On Campus Housing",1000,NA,NA,4837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297954,1,"2011-12","1","Single",5812,0,"College","High School","Off Campus",NA,516.5,NA,5994,NA,NA,NA,5895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297964,0,"2011-12","1","Single",13352,110895,"High School","High School","With Parent",16474,NA,NA,NA,5500,NA,NA,NA,5500,NA,NA,NA,2433,NA,NA,1433,NA,NA,NA,NA,NA,NA,NA,NA
297975,0,"2011-12","1","Single",0,42786,"High School","High School","With Parent",4500,NA,NA,3984,9500,NA,NA,NA,10500,NA,NA,NA,12500,NA,NA,NA,12500,NA,NA,5775,NA,NA,NA,NA
297979,1,"2012-13","1","Single",0,0,"Unknown","Unknown","On Campus Housing",NA,NA,NA,NA,NA,NA,NA,2621.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297991,0,"2011-12","1","Single",0,49017,"High School","College","On Campus Housing",NA,27631.9,NA,NA,NA,28737.1,NA,NA,NA,29472.22,NA,NA,NA,30227.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297993,0,"2012-13","1","Single",0,83947,"College","Unknown","With Parent",NA,NA,NA,NA,6500,NA,2000,NA,7500,NA,2000,2927,2750,NA,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
298023,0,"2014-15","3","Single",38907,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298028,1,"2011-12","1","Married",44635,0,"High School","High School","Off Campus",12500,NA,NA,NA,10460,NA,NA,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298033,1,"2011-12","1","Single",12580,17508,"College","Middle School","With Parent",1700,NA,NA,9532,3500,NA,NA,5550,NA,NA,NA,13601,NA,NA,NA,13016,NA,NA,NA,NA,NA,NA,NA,NA
298065,1,"2014-15","1","Single",29744,0,"High School","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2488.39,NA,NA,NA,NA,NA,NA,NA,NA
298067,0,"2011-12","1","Single",0,47132,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298074,0,"2014-15","1","Single",0,85915,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,3808,NA,5000,NA,NA,NA,NA,NA,NA
298080,1,"2011-12","1","Married",2960,0,"College","High School","Off Campus",NA,NA,NA,972.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298091,1,"2013-14","1","Single",7343,101447,"High School","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298096,0,"2014-15","1","Single",0,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,9191,10500,NA,NA,6796,12500,NA,NA,1750
298101,1,"2011-12","1","Single",0,51051,"High School","High School","On Campus Housing",5500,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298102,1,"2011-12","1","Single",0,43111,"Middle School","High School","With Parent",2200,NA,NA,10614,582,NA,NA,9990,NA,NA,NA,3791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298124,1,"2012-13","1","Single",0,25405,"Unknown","High School","On Campus Housing",NA,NA,NA,NA,NA,NA,NA,11790,NA,NA,NA,12001,NA,NA,NA,NA,NA,NA,NA,12255,NA,NA,NA,2908
298141,1,"2011-12","1","Single",8479,0,"Middle School","Middle School","With Parent",NA,NA,NA,10714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298144,0,"2011-12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298148,0,"2011-12","1","Single",1549,113682,"High School","College","With Parent",10500,NA,NA,NA,13500,NA,NA,NA,7140,NA,NA,9531,11500,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298152,1,"2011-12","1","Single",0,65016,"Unknown","College","Off Campus",3500,NA,NA,1500,5500,NA,NA,NA,7500,NA,NA,NA,10500,937.5,NA,NA,NA,NA,NA,NA,12500,NA,NA,12423
298158,0,"2011-12","1","Single",7462,30552,"High School","College","On Campus Housing",NA,15259.7,NA,7918,NA,11298,NA,9652,NA,9640,NA,7781,NA,15500,NA,6516,NA,NA,NA,NA,NA,NA,NA,NA
298160,0,"2014-15","3","Single",0,60266,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,NA,NA,1300,4225,NA,NA,530,5787
298168,0,"2015-16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298174,0,"2014-15","3","Separated",0,36234,"College","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5647,NA,NA,NA,11871,2090,NA,NA,8393
298185,0,"2012-13","1","Single",0,166129,"High School","College","Off Campus",NA,NA,NA,NA,7500,NA,NA,NA,8366,NA,NA,8414,10500,NA,NA,7679,NA,NA,NA,NA,NA,NA,NA,NA
298214,1,"2011-12","1","Single",0,22451,"Unknown","High School","With Parent",NA,NA,NA,2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298215,0,"2011-12","1","Single",0,0,"Unknown","Unknown","On Campus Housing",8000,NA,NA,12988,8965,NA,2000,13190,9000,NA,2600,14001,8750,NA,NA,13469,7000,NA,2000,12571,12500,NA,NA,6965
298217,1,"2011-12","1","Single",0,152458,"Unknown","Unknown","With Parent",18286,NA,NA,NA,14393,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298224,0,"2014-15","1","Single",23114,136263,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA
298242,1,"2011-12","1","Single",0,26821,"Unknown","College","On Campus Housing",NA,NA,3000,11588,NA,NA,NA,NA,NA,NA,NA,12126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298252,1,"2011-12","1","Single",15939,0,"High School","High School","On Campus Housing",3500,NA,NA,8312,3500,NA,NA,8516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298259,0,"2011-12","1",NA,NA,NA,NA,NA,NA,14600,NA,NA,NA,15000,NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298281,0,"2012-13","1","Single",0,118610,"College","College","With Parent",NA,NA,NA,NA,15700,NA,NA,NA,11500,NA,NA,NA,17006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298284,1,"2011-12","1","Single",0,21178,"Unknown","High School","With Parent",NA,NA,2500,12738,3500,NA,3000,9892,NA,NA,NA,NA,4500,NA,NA,13266,7500,NA,NA,6875,NA,NA,NA,NA
298287,1,"2011-12","1","Single",6817,40000,"High School","High School","Off Campus",NA,9121,NA,3900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298291,1,"2011-12","1","Single",0,17631,"High School","High School","With Parent",NA,NA,NA,11588,NA,NA,NA,11790,NA,NA,NA,NA,NA,NA,NA,6358,NA,NA,NA,NA,NA,NA,NA,NA
298294,0,"2014-15","1","Single",5142,25978,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA,NA,NA,NA,NA,12780,NA,NA,NA,5346
298295,1,"2012-13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298302,1,"2011-12","1","Single",0,146178,"College","College","With Parent",5500,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298305,1,"2011-12","1","Single",0,2900,"Unknown","High School","With Parent",2750,NA,NA,5357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298307,1,"2011-12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298311,1,"2011-12","1","Single",1408,66000,"Middle School","Unknown","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12520,NA,NA,NA,12423
298316,0,"2011-12","1","Single",0,33933,"High School","High School","With Parent",NA,NA,NA,11314,NA,NA,NA,10552,NA,NA,NA,10667.65,NA,NA,2800,12192,NA,NA,NA,NA,NA,NA,NA,NA
298321,1,"2011-12","1","Single",0,18482,"High School","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298325,1,"2011-12","1","Single",0,161373,"High School","College","With Parent",3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298327,0,"2015-16","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298331,1,"2011-12","1","Single",0,84000,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18614,NA,NA,NA,NA,NA,NA,NA
298333,1,"2011-12","1","Single",0,20872,"High School","High School","With Parent",NA,NA,NA,11588,NA,NA,NA,8650,NA,NA,NA,9985,1078,NA,NA,770,7500,NA,NA,NA,5500,NA,NA,1965
298341,1,"2011-12","1","Single",0,82346,"College","High School","On Campus Housing",3500,NA,NA,NA,5500,NA,NA,NA,6500,NA,NA,NA,3750,NA,NA,990,6250,NA,NA,NA,NA,NA,NA,NA
298342,1,"2011-12","3","Single",0,17568,"High School","High School","With Parent",NA,NA,NA,5794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298347,0,"2011-12","1","Single",0,71856,"High School","High School","With Parent",5500,NA,NA,6318,5500,NA,NA,5192,6500,NA,NA,4095,2265,NA,NA,10644,11500,NA,NA,NA,NA,NA,NA,NA
298353,0,"2011-12","1","Single",0,100917,"College","High School","Off Campus",NA,NA,NA,10714,10500,NA,NA,NA,906,250,NA,2822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298357,1,"2011-12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298359,0,"2011-12","1","Divorced",14413,0,"College","College","Off Campus",NA,2000,NA,5212,5500,1000,NA,1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298368,1,"2011-12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298377,1,"2011-12","1","Single",2872,120698,"High School","High School","With Parent",8625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298385,1,"2011-12","1","Single",0,103629,"College","College","With Parent",10000,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298387,1,"2011-12","1","Single",0,29311,"Middle School","Middle School","Off Campus",NA,NA,NA,10381,NA,NA,NA,6095,NA,NA,100,12601,NA,NA,NA,12116,8824,NA,NA,5054,12500,NA,NA,5765
298396,0,"2011-12","1","Single",4046,149369,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298402,0,"2015-16","1","Single",0,0,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,NA,NA,12255,7500,NA,NA,5815
298422,0,"2011-12","1","Single",76007,0,"High School","Middle School","Off Campus",12500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298435,1,"2011-12","1","Single",0,0,"High School","College","Off Campus",3750,NA,NA,2975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298444,0,"2011-12","1","Married",21227,0,"High School","High School","Off Campus",NA,NA,NA,7056,NA,NA,NA,4070,7900,NA,NA,6198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298447,1,"2011-12","1","Single",0,9481,"College","College","Off Campus",NA,NA,NA,10077.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298452,1,"2011-12","1","Single",0,34603,"College","Unknown","With Parent",NA,NA,NA,4982,NA,NA,NA,572.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298474,1,"2011-12","1","Single",11600,120024,"High School","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298481,0,"2011-12","1","Single",0,88700,"High School","College","With Parent",NA,5000,NA,NA,NA,5000,NA,NA,NA,5000,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298484,1,"2012-13","1","Single",4133,0,"College","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298488,0,"2013-14","1","Single",7983,53105,"Unknown","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,2827,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298491,1,"2011-12","1","Single",0,31508,"Middle School","High School","With Parent",NA,NA,NA,9964,NA,NA,3000,12140,NA,NA,2000,12601,NA,NA,2000,11894,7500,NA,2000,8166,NA,NA,NA,NA
298495,1,"2011-12","1","Single",0,111389,"High School","College","With Parent",NA,6000,NA,NA,NA,6000,NA,NA,NA,6000,NA,NA,NA,6000,NA,NA,2750,NA,NA,NA,NA,NA,NA,NA
298496,0,"2011-12","1","Single",0,18580,"College","College","With Parent",NA,NA,NA,11588,3500,NA,NA,11790,NA,NA,NA,12001,NA,NA,NA,12716,NA,NA,NA,7572,NA,NA,NA,NA
298500,1,"2011-12","1","Single",9987,0,"High School","High School","Off Campus",3750,NA,NA,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
